User,Activity,timestamp,,x,y,z,timeIntervalSince1970
Caroline,B,2020-05-05 20:36:18.287 +0000,,-0.122879,0.829727,0.043961,1588710978
Caroline,B,2020-05-05 20:36:18.297 +0000,,-0.119308,0.814758,0.05661,1588710978
Caroline,B,2020-05-05 20:36:18.307 +0000,,-0.11586,0.801407,0.078247,1588710978
Caroline,B,2020-05-05 20:36:18.317 +0000,,-0.109894,0.793289,0.107254,1588710978
Caroline,B,2020-05-05 20:36:18.327 +0000,,-0.100357,0.795425,0.132233,1588710978
Caroline,B,2020-05-05 20:36:18.337 +0000,,-0.092697,0.808151,0.14856,1588710978
Caroline,B,2020-05-05 20:36:18.347 +0000,,-0.086487,0.825089,0.164536,1588710978
Caroline,B,2020-05-05 20:36:18.357 +0000,,-0.079071,0.841293,0.188095,1588710978
Caroline,B,2020-05-05 20:36:18.367 +0000,,-0.06575,0.859894,0.217651,1588710978
Caroline,B,2020-05-05 20:36:18.377 +0000,,-0.056,0.892151,0.252472,1588710978
Caroline,B,2020-05-05 20:36:18.387 +0000,,-0.056396,0.938766,0.293106,1588710978
Caroline,B,2020-05-05 20:36:18.397 +0000,,-0.065765,0.998169,0.335617,1588710978
Caroline,B,2020-05-05 20:36:18.407 +0000,,-0.08757,1.071518,0.375137,1588710978
Caroline,B,2020-05-05 20:36:18.417 +0000,,-0.118576,1.148468,0.409485,1588710978
Caroline,B,2020-05-05 20:36:18.427 +0000,,-0.142944,1.195831,0.446487,1588710978
Caroline,B,2020-05-05 20:36:18.437 +0000,,-0.159912,1.184967,0.487976,1588710978
Caroline,B,2020-05-05 20:36:18.447 +0000,,-0.170288,1.162338,0.524063,1588710978
Caroline,B,2020-05-05 20:36:18.457 +0000,,-0.19133,1.216949,0.556335,1588710978
Caroline,B,2020-05-05 20:36:18.467 +0000,,-0.239624,1.360336,0.594284,1588710978
Caroline,B,2020-05-05 20:36:18.477 +0000,,-0.310242,1.496109,0.632202,1588710978
Caroline,B,2020-05-05 20:36:18.487 +0000,,-0.377075,1.499786,0.656174,1588710978
Caroline,B,2020-05-05 20:36:18.496 +0000,,-0.409012,1.354553,0.661469,1588710978
Caroline,B,2020-05-05 20:36:18.506 +0000,,-0.40419,1.171371,0.65567,1588710979
Caroline,B,2020-05-05 20:36:18.516 +0000,,-0.380814,1.0522,0.649536,1588710979
Caroline,B,2020-05-05 20:36:18.526 +0000,,-0.346115,1.016556,0.659897,1588710979
Caroline,B,2020-05-05 20:36:18.536 +0000,,-0.308655,1.03772,0.656174,1588710979
Caroline,B,2020-05-05 20:36:18.546 +0000,,-0.273239,1.075439,0.626999,1588710979
Caroline,B,2020-05-05 20:36:18.556 +0000,,-0.240311,1.097305,0.588837,1588710979
Caroline,B,2020-05-05 20:36:18.566 +0000,,-0.216202,1.084335,0.536469,1588710979
Caroline,B,2020-05-05 20:36:18.576 +0000,,-0.204346,1.031906,0.476883,1588710979
Caroline,B,2020-05-05 20:36:18.586 +0000,,-0.205688,0.96315,0.424332,1588710979
Caroline,B,2020-05-05 20:36:18.596 +0000,,-0.218567,0.906616,0.393463,1588710979
Caroline,B,2020-05-05 20:36:18.606 +0000,,-0.243774,0.879715,0.38327,1588710979
