User,Activity,timestamp,timeIntervalSince1970,x,y,z
Luca,D,2020-05-05 15:19:18.962 +0000,1588691959,-0.816803,-0.350937,0.561157
Luca,D,2020-05-05 15:19:18.972 +0000,1588691959,-0.820633,-0.327332,0.493256
Luca,D,2020-05-05 15:19:18.982 +0000,1588691959,-0.841156,-0.276794,0.395828
Luca,D,2020-05-05 15:19:18.992 +0000,1588691959,-0.875488,-0.230103,0.30545
Luca,D,2020-05-05 15:19:19.002 +0000,1588691959,-0.908646,-0.182678,0.248062
Luca,D,2020-05-05 15:19:19.012 +0000,1588691959,-0.915268,-0.138275,0.229187
Luca,D,2020-05-05 15:19:19.022 +0000,1588691959,-0.898132,-0.121735,0.234955
Luca,D,2020-05-05 15:19:19.032 +0000,1588691959,-0.876373,-0.152527,0.236511
Luca,D,2020-05-05 15:19:19.042 +0000,1588691959,-0.856674,-0.223007,0.230698
Luca,D,2020-05-05 15:19:19.052 +0000,1588691959,-0.846817,-0.309799,0.213821
Luca,D,2020-05-05 15:19:19.062 +0000,1588691959,-0.856903,-0.388077,0.197296
Luca,D,2020-05-05 15:19:19.072 +0000,1588691959,-0.887512,-0.444138,0.189133
Luca,D,2020-05-05 15:19:19.082 +0000,1588691959,-0.922516,-0.470764,0.169159
Luca,D,2020-05-05 15:19:19.092 +0000,1588691959,-0.947021,-0.469055,0.134903
Luca,D,2020-05-05 15:19:19.102 +0000,1588691959,-0.961609,-0.461395,0.113571
Luca,D,2020-05-05 15:19:19.112 +0000,1588691959,-0.969177,-0.459015,0.08989
Luca,D,2020-05-05 15:19:19.122 +0000,1588691959,-0.954102,-0.456635,0.056366
Luca,D,2020-05-05 15:19:19.132 +0000,1588691959,-0.923248,-0.466843,0.03447
Luca,D,2020-05-05 15:19:19.142 +0000,1588691959,-0.897858,-0.495621,0.02507
Luca,D,2020-05-05 15:19:19.152 +0000,1588691959,-0.888565,-0.528717,0.008514
Luca,D,2020-05-05 15:19:19.162 +0000,1588691959,-0.890793,-0.558975,-0.014679
Luca,D,2020-05-05 15:19:19.172 +0000,1588691959,-0.900085,-0.586838,-0.013489
Luca,D,2020-05-05 15:19:19.182 +0000,1588691959,-0.921738,-0.610703,0.007233
Luca,D,2020-05-05 15:19:19.192 +0000,1588691959,-0.952316,-0.624939,0.029144
Luca,D,2020-05-05 15:19:19.202 +0000,1588691959,-0.981873,-0.626358,0.047852
Luca,D,2020-05-05 15:19:19.212 +0000,1588691959,-1.004318,-0.623032,0.052399
Luca,D,2020-05-05 15:19:19.222 +0000,1588691959,-1.007034,-0.613754,0.032379
Luca,D,2020-05-05 15:19:19.232 +0000,1588691959,-0.989075,-0.603668,-0.001099
Luca,D,2020-05-05 15:19:19.242 +0000,1588691959,-0.961456,-0.604919,-0.021957
Luca,D,2020-05-05 15:19:19.252 +0000,1588691959,-0.940613,-0.617599,-0.035507
Luca,D,2020-05-05 15:19:19.262 +0000,1588691959,-0.931976,-0.631256,-0.038513
Luca,D,2020-05-05 15:19:19.272 +0000,1588691959,-0.926483,-0.637192,-0.036758
Luca,D,2020-05-05 15:19:19.282 +0000,1588691959,-0.923615,-0.63266,-0.030884
Luca,D,2020-05-05 15:19:19.292 +0000,1588691959,-0.925278,-0.62439,-0.025757
Luca,D,2020-05-05 15:19:19.302 +0000,1588691959,-0.932205,-0.621872,-0.016754
Luca,D,2020-05-05 15:19:19.312 +0000,1588691959,-0.93924,-0.625656,-0.006348
Luca,D,2020-05-05 15:19:19.322 +0000,1588691959,-0.937424,-0.634613,-0.004181
Luca,D,2020-05-05 15:19:19.332 +0000,1588691959,-0.923508,-0.64209,-0.013428
Luca,D,2020-05-05 15:19:19.342 +0000,1588691959,-0.900543,-0.644424,-0.030411
Luca,D,2020-05-05 15:19:19.352 +0000,1588691959,-0.871857,-0.642776,-0.047256
Luca,D,2020-05-05 15:19:19.362 +0000,1588691959,-0.846344,-0.641266,-0.05896
Luca,D,2020-05-05 15:19:19.372 +0000,1588691959,-0.829437,-0.645828,-0.067093
Luca,D,2020-05-05 15:19:19.382 +0000,1588691959,-0.81604,-0.65712,-0.066269
Luca,D,2020-05-05 15:19:19.392 +0000,1588691959,-0.804626,-0.665833,-0.056564
Luca,D,2020-05-05 15:19:19.402 +0000,1588691959,-0.793564,-0.660217,-0.052872
Luca,D,2020-05-05 15:19:19.412 +0000,1588691959,-0.780624,-0.643234,-0.057709
Luca,D,2020-05-05 15:19:19.422 +0000,1588691959,-0.763031,-0.626984,-0.062836
Luca,D,2020-05-05 15:19:19.432 +0000,1588691959,-0.745209,-0.61792,-0.063629
Luca,D,2020-05-05 15:19:19.442 +0000,1588691959,-0.726364,-0.619247,-0.060318
Luca,D,2020-05-05 15:19:19.452 +0000,1588691959,-0.713531,-0.627472,-0.056381
Luca,D,2020-05-05 15:19:19.462 +0000,1588691959,-0.708786,-0.646301,-0.057007
Luca,D,2020-05-05 15:19:19.472 +0000,1588691959,-0.706192,-0.664871,-0.065048
Luca,D,2020-05-05 15:19:19.482 +0000,1588691959,-0.706543,-0.677383,-0.070694
Luca,D,2020-05-05 15:19:19.492 +0000,1588691959,-0.707413,-0.685638,-0.076675
Luca,D,2020-05-05 15:19:19.502 +0000,1588691960,-0.702103,-0.69136,-0.083649
Luca,D,2020-05-05 15:19:19.512 +0000,1588691960,-0.685898,-0.691742,-0.087753
Luca,D,2020-05-05 15:19:19.522 +0000,1588691960,-0.668259,-0.690002,-0.095688
Luca,D,2020-05-05 15:19:19.532 +0000,1588691960,-0.651825,-0.691757,-0.111053
Luca,D,2020-05-05 15:19:19.542 +0000,1588691960,-0.635056,-0.69664,-0.119919
Luca,D,2020-05-05 15:19:19.552 +0000,1588691960,-0.623932,-0.707199,-0.114777
Luca,D,2020-05-05 15:19:19.562 +0000,1588691960,-0.613998,-0.722717,-0.095901
Luca,D,2020-05-05 15:19:19.572 +0000,1588691960,-0.605148,-0.734406,-0.072189
Luca,D,2020-05-05 15:19:19.582 +0000,1588691960,-0.602814,-0.745102,-0.052856
Luca,D,2020-05-05 15:19:19.592 +0000,1588691960,-0.602966,-0.757675,-0.041534
Luca,D,2020-05-05 15:19:19.602 +0000,1588691960,-0.601562,-0.771179,-0.03389
Luca,D,2020-05-05 15:19:19.612 +0000,1588691960,-0.600876,-0.78743,-0.032776
Luca,D,2020-05-05 15:19:19.622 +0000,1588691960,-0.600143,-0.803802,-0.031601
Luca,D,2020-05-05 15:19:19.632 +0000,1588691960,-0.601852,-0.816422,-0.034805
Luca,D,2020-05-05 15:19:19.642 +0000,1588691960,-0.606552,-0.827148,-0.035721
Luca,D,2020-05-05 15:19:19.652 +0000,1588691960,-0.611252,-0.839371,-0.034515
Luca,D,2020-05-05 15:19:19.662 +0000,1588691960,-0.612762,-0.85112,-0.035828
Luca,D,2020-05-05 15:19:19.672 +0000,1588691960,-0.607574,-0.852585,-0.026505
Luca,D,2020-05-05 15:19:19.682 +0000,1588691960,-0.598068,-0.844391,-0.003937
Luca,D,2020-05-05 15:19:19.692 +0000,1588691960,-0.59169,-0.839127,0.019623
Luca,D,2020-05-05 15:19:19.702 +0000,1588691960,-0.587143,-0.834412,0.042572
Luca,D,2020-05-05 15:19:19.712 +0000,1588691960,-0.580475,-0.82576,0.055283
Luca,D,2020-05-05 15:19:19.722 +0000,1588691960,-0.567657,-0.818665,0.060883
Luca,D,2020-05-05 15:19:19.732 +0000,1588691960,-0.55838,-0.814484,0.064362
Luca,D,2020-05-05 15:19:19.742 +0000,1588691960,-0.557449,-0.810608,0.047836
Luca,D,2020-05-05 15:19:19.752 +0000,1588691960,-0.556244,-0.810013,0.001053
Luca,D,2020-05-05 15:19:19.762 +0000,1588691960,-0.551193,-0.816605,-0.060577
Luca,D,2020-05-05 15:19:19.772 +0000,1588691960,-0.554123,-0.820267,-0.120712
Luca,D,2020-05-05 15:19:19.782 +0000,1588691960,-0.564728,-0.806824,-0.163681
Luca,D,2020-05-05 15:19:19.792 +0000,1588691960,-0.580353,-0.791214,-0.174393
Luca,D,2020-05-05 15:19:19.802 +0000,1588691960,-0.597519,-0.789474,-0.158661
Luca,D,2020-05-05 15:19:19.812 +0000,1588691960,-0.616272,-0.799408,-0.128159
Luca,D,2020-05-05 15:19:19.822 +0000,1588691960,-0.637726,-0.807693,-0.101578
Luca,D,2020-05-05 15:19:19.832 +0000,1588691960,-0.655792,-0.807068,-0.090683
Luca,D,2020-05-05 15:19:19.842 +0000,1588691960,-0.662567,-0.799957,-0.083344
Luca,D,2020-05-05 15:19:19.852 +0000,1588691960,-0.658417,-0.795456,-0.082489
Luca,D,2020-05-05 15:19:19.862 +0000,1588691960,-0.65242,-0.795792,-0.101242
Luca,D,2020-05-05 15:19:19.872 +0000,1588691960,-0.644363,-0.799072,-0.115326
Luca,D,2020-05-05 15:19:19.882 +0000,1588691960,-0.631546,-0.809708,-0.104645
Luca,D,2020-05-05 15:19:19.892 +0000,1588691960,-0.616776,-0.825333,-0.066483
Luca,D,2020-05-05 15:19:19.901 +0000,1588691960,-0.595215,-0.834564,-0.035156
Luca,D,2020-05-05 15:19:19.912 +0000,1588691960,-0.565338,-0.828812,-0.022675
Luca,D,2020-05-05 15:19:19.921 +0000,1588691960,-0.540955,-0.814468,-0.021545
Luca,D,2020-05-05 15:19:19.931 +0000,1588691960,-0.531662,-0.810501,-0.019257
Luca,D,2020-05-05 15:19:19.941 +0000,1588691960,-0.543381,-0.815887,-0.009674
Luca,D,2020-05-05 15:19:19.951 +0000,1588691960,-0.570526,-0.82312,-0.006348
Luca,D,2020-05-05 15:19:19.961 +0000,1588691960,-0.597855,-0.829422,-0.015976
Luca,D,2020-05-05 15:19:19.971 +0000,1588691960,-0.616974,-0.840744,-0.031174
Luca,D,2020-05-05 15:19:19.981 +0000,1588691960,-0.620636,-0.853073,-0.048996
Luca,D,2020-05-05 15:19:19.991 +0000,1588691960,-0.604721,-0.859756,-0.054718
Luca,D,2020-05-05 15:19:20.001 +0000,1588691960,-0.575684,-0.862366,-0.048309
Luca,D,2020-05-05 15:19:20.011 +0000,1588691960,-0.546722,-0.858109,-0.039551
Luca,D,2020-05-05 15:19:20.021 +0000,1588691960,-0.522507,-0.849716,-0.041641
Luca,D,2020-05-05 15:19:20.031 +0000,1588691960,-0.498108,-0.843811,-0.045059
Luca,D,2020-05-05 15:19:20.041 +0000,1588691960,-0.48262,-0.835281,-0.037628
Luca,D,2020-05-05 15:19:20.051 +0000,1588691960,-0.48848,-0.823471,-0.029007
Luca,D,2020-05-05 15:19:20.061 +0000,1588691960,-0.507355,-0.817474,-0.029739
Luca,D,2020-05-05 15:19:20.071 +0000,1588691960,-0.527267,-0.822128,-0.03476
Luca,D,2020-05-05 15:19:20.081 +0000,1588691960,-0.543915,-0.831284,-0.041962
